,index
内容事物解读,0
概念理解和原理阐述,1
机制和过程解析,2
因果关系和影响分析,3
应用和实践意义,4
现象和效应解释,5
事实和数据,6
原理和定律,7
概念与定义,8
方法与技术,9
新闻时事,10
天气与环境信息,11
金融与市场数据,12
娱乐与活动信息,13
领域动态,14
交通和出行,15
技能提升指导,16
问题解决指导,17
实践操作指导,18
情感性指导,19
个性化指导,20
实用性建议,21
提升性建议,22
娱乐性建议,23
审美性建议,24
健康性建议,25
反馈征询,26
情感性建议,27
趋势与模式预测,28
影响与结果预测,29
数值指标预测,30
条件性预测,31
发展动态预测,32
概念比较,33
实体比较,34
策略比较,35
性能比较,36
思想比较,37
事实观点,38
推理观点,39
经验观点,40
预测观点,41
条件观点,42
价值观点,43
法律咨询,44
医疗咨询,45
解释性+客观知识,46
客观知识+观点,47
动态信息+操作性,48
操作性+建议推荐,49
客观知识问题 + 操作性指导 + 建议与推荐,50
名词搜索,51
剧本,52
小说,53
故事,54
诗歌,55
歌词,56
造句,57
新闻稿,58
说明文档,59
邮件,60
大纲,61
技术文档,62
记录文,63
广告和营销内容,64
法律文书,65
教育和培训材料,66
求职招聘,67
工作汇报,68
起名字,69
祝福祝愿,70
提问,71
起标题,72
公文写作,73
演讲稿,74
社交媒体内容创作,75
PPT,76
咨询建议类报告,77
方案计划,78
作品导读（序言）,79
古诗词,80
对联,81
应试作文,82
学术论文,83
文献综述写作,84
心得体会,85
日记,86
随笔,87
书信,88
评论,89
评语,90
扩写/缩写,91
润色,92
改写,93
仿写,94
续写,95
场景识别,96
物体识别,97
物体属性识别,98
图像描述,99
ocr,100
文生图,101
自我介绍,102
问候寒暄,103
日常分享,104
用户服务,105
情绪交流,106
解谜游戏,107
趣味问答,108
讲段子,109
历史人物,110
文学角色,111
名人/公众人物,112
艺术作品角色（电影、电视、动漫、漫画等）,113
神话人物,114
领域虚拟专家,115
游戏角色,116
社会场景角色,117
用户定制角色,118
多角色融合,119
分词,120
短语结构分析,121
段落划分,122
词性标注,123
文本校对,124
句型转换,125
信息提取,126
实体识别,127
句法分析,128
文本分类,129
情感分析,130
词义消歧,131
成语/俗语,132
抽象概念,133
讽刺和幽默,134
词汇表达,135
比喻和隐喻,136
网络热词,137
文本比较,138
文献综述,139
emoji翻译,140
文言文翻译,141
方言翻译,142
语言翻译,143
主旨,144
观点,145
摘要或缩写,146
创新点,147
基础算数运算,148
高级数学公式,149
单位转换,150
基础统计计算,151
经济金融应用,152
几何应用,153
物理应用,154
生活实用问题,155
数列与序列,156
图形视觉推理,157
逻辑谜题,158
数学证明,159
组合逻辑,160
排序与搜索,161
图论算法,162
特定算法应用,163
数论算法,164
函数建模,165
系统动态模型,166
优化问题,167
概率模型,168
算法实现,169
特定功能实现,170
编程题,171
自动化脚本编写,172
修复代码bug,173
性能优化,174
代码debug,175
代码报错解读,176
代码比较,177
代码段解读,178
代码注释,179
数据格式转换,180
数据统计分析,181
数据可视化,182
数据建模,183
数据清洗和预处理,184
系统开发,185
小程序开发,186
工具开发,187
服务开发,188
api开发,189
游戏开发,190
模糊需求,191
