second_level	third_level
创意性写作	剧本
创意性写作	小说
创意性写作	故事
创意性写作	诗歌
创意性写作	歌词
创意性写作	造句
信息性写作	新闻稿
信息性写作	说明文档
信息性写作	邮件
信息性写作	大纲
信息性写作	技术文档
信息性写作	记录文
功能性写作	广告和营销内容
功能性写作	法律文书
功能性写作	教育和培训材料
功能性写作	求职招聘
功能性写作	工作汇报
功能性写作	起名字
功能性写作	祝福祝愿
功能性写作	提问
功能性写作	起标题
功能性写作	公文写作
功能性写作	演讲稿
功能性写作	社交媒体内容创作
功能性写作	PPT
功能性写作	咨询建议类报告
功能性写作	方案计划
功能性写作	作品导读（序言）
八股写作	古诗词
八股写作	对联
八股写作	应试作文
学术性写作	学术论文
学术性写作	文献综述写作
自我表达写作	心得体会
自我表达写作	日记
自我表达写作	随笔
自我表达写作	书信
评价性写作	评论
评价性写作	评语
文本雕琢类	扩写/缩写
文本雕琢类	润色
文本雕琢类	改写
文本雕琢类	仿写
文本雕琢类	续写
解释性问题	内容事物解读
解释性问题	概念理解和原理阐述
解释性问题	机制和过程解析
解释性问题	因果关系和影响分析
解释性问题	应用和实践意义
解释性问题	现象和效应解释
客观知识问题	事实和数据
客观知识问题	原理和定律
客观知识问题	概念与定义
客观知识问题	方法与技术
实时信息问题	新闻时事
实时信息问题	天气与环境信息
实时信息问题	金融与市场数据
实时信息问题	娱乐与活动信息
实时信息问题	领域动态
实时信息问题	交通和出行
操作性指导	技能提升指导
操作性指导	问题解决指导
操作性指导	实践操作指导
操作性指导	情感性指导
操作性指导	个性化指导
建议与推荐	实用性建议
建议与推荐	提升性建议
建议与推荐	娱乐性建议
建议与推荐	审美性建议
建议与推荐	健康性建议
建议与推荐	反馈征询
建议与推荐	情感性建议
预测与前瞻	趋势与模式预测
预测与前瞻	影响与结果预测
预测与前瞻	数值指标预测
预测与前瞻	条件性预测
预测与前瞻	发展动态预测
比较性问题	概念比较
比较性问题	实体比较
比较性问题	策略比较
比较性问题	性能比较
比较性问题	思想比较
观点性问题	事实观点
观点性问题	推理观点
观点性问题	经验观点
观点性问题	预测观点
观点性问题	条件观点
观点性问题	价值观点
专业领域问题	法律咨询
专业领域问题	医疗咨询
复合知识问答	解释性+客观知识
复合知识问答	客观知识+观点
复合知识问答	动态信息+操作性
复合知识问答	操作性+建议推荐
复合知识问答	客观知识问题 + 操作性指导 + 建议与推荐
文本处理与结构分析	分词
文本处理与结构分析	短语结构分析
文本处理与结构分析	段落划分
文本处理与结构分析	词性标注
文本处理与结构分析	文本校对
文本处理与结构分析	句型转换
信息提取与实体识别	信息提取
信息提取与实体识别	实体识别
上下文理解与语境分析	句法分析
上下文理解与语境分析	文本分类
上下文理解与语境分析	情感分析
上下文理解与语境分析	词义消歧
深层语义理解	成语/俗语
深层语义理解	抽象概念
深层语义理解	讽刺和幽默
深层语义理解	词汇表达
深层语义理解	比喻和隐喻
深层语义理解	网络热词
跨文本信息整合与比较	文本比较
跨文本信息整合与比较	文献综述
多语言文本理解与翻译	emoji翻译
多语言文本理解与翻译	文言文翻译
多语言文本理解与翻译	方言翻译
多语言文本理解与翻译	语言翻译
文本归纳与摘要	主旨
文本归纳与摘要	观点
文本归纳与摘要	摘要或缩写
文本归纳与摘要	创新点
直接计算型	基础算数运算
直接计算型	高级数学公式
直接计算型	单位转换
直接计算型	基础统计计算
应用问题型	经济金融应用
应用问题型	几何应用
应用问题型	物理应用
应用问题型	生活实用问题
逻辑推理型	数列与序列
逻辑推理型	图形视觉推理
逻辑推理型	逻辑谜题
逻辑推理型	数学证明
逻辑推理型	组合逻辑
算法应用型	排序与搜索
算法应用型	图论算法
算法应用型	特定算法应用
算法应用型	数论算法
模型构建型	函数建模
模型构建型	系统动态模型
模型构建型	优化问题
模型构建型	概率模型
代码编写与实现	算法实现
代码编写与实现	特定功能实现
代码编写与实现	编程题
代码编写与实现	自动化脚本编写
代码编写与实现	修复代码bug
代码编写与实现	性能优化
代码理解与解读	代码debug
代码理解与解读	代码报错解读
代码理解与解读	代码比较
代码理解与解读	代码段解读
代码理解与解读	代码注释
数据处理与分析	数据格式转换
数据处理与分析	数据统计分析
数据处理与分析	数据可视化
数据处理与分析	数据建模
数据处理与分析	数据清洗和预处理
软件开发	系统开发
软件开发	小程序开发
软件开发	工具开发
软件开发	服务开发
软件开发	api开发
软件开发	游戏开发
社交互动	自我介绍
社交互动	问候寒暄
社交互动	日常分享
社交互动	用户服务
社交互动	情绪交流
娱乐互动	解谜游戏
娱乐互动	趣味问答
娱乐互动	讲段子
人设模拟	历史人物
人设模拟	文学角色
人设模拟	名人/公众人物
人设模拟	艺术作品角色（电影、电视、动漫、漫画等）
人设模拟	神话人物
人设模拟	领域虚拟专家
人设模拟	游戏角色
人设模拟	社会场景角色
人设模拟	用户定制角色
人设模拟	多角色融合
图像理解	场景识别
图像理解	物体识别
图像理解	物体属性识别
图像理解	图像描述
图像理解	ocr
模糊需求	模糊需求
名词搜索	名词搜索
文生图	文生图
